tramstop	totalArriving	totalLeaving	totalArrMorning	totalLeaveMorning	totalArrEve	totalLeaveEve										tramstop	totalArriving	totalLeaving	totalArrMorning	totalLeaveMorning	totalArrEve	totalLeaveEve	maxQueueLength	time	maxWaitingTime	time	averageWaitTime	maxTramDelay	averageTramDelay/total	averageTramDelay/delayed	fractionOfRunsDelayed	passengersNotArrived
19	0 (+-0)	720,73 (+-34,4)	0 (+-0)	286,56 (+-33,1)	0 (+-0)	124,66 (+-13,5)										0	15	183	0	129	8	18	3	727,1081281	6,937826055	554,6666667	4,913075518	462,2666667	1,75202828	6,667440954	0,262773723	0
																0	15	183	0	129	8	18	3	727,1081281	6,937826055	554,6666667	4,913075518	462,2666667	1,75202828	6,667440954	0,262773723	0
																0	22	175	0	118	11	14	2	682,0679646	11,25475443	317,2752385	8,651300091	266,8278287	2,099845074	8,717538642	0,240875912	0
																0	22	175	0	118	11	14	2	682,0679646	11,25475443	317,2752385	8,651300091	266,8278287	2,099845074	8,717538642	0,240875912	0
																0	22	175	0	118	11	14	2	682,0679646	11,25475443	317,2752385	8,651300091	266,8278287	2,099845074	8,717538642	0,240875912	0
																0	14	188	0	138	9	20	2	704,6	1,738450856	808,2666667	7,361741622	355,1263114	0,761587648	8,025962139	0,094890511	0
																0	14	188	0	138	9	20	2	704,6	1,738450856	808,2666667	7,361741622	355,1263114	0,761587648	8,025962139	0,094890511	0
																0	14	188	0	138	9	20	2	704,6	1,738450856	808,2666667	7,361741622	355,1263114	0,761587648	8,025962139	0,094890511	0
																0	21	148	1	79	15	20	2	603,2666667	4,768483372	648,6	4,069944859	181,2503964	3,395283712	10,33675264	0,328467153	0
																0	21	148	1	79	15	20	2	603,2666667	4,768483372	648,6	4,069944859	181,2503964	3,395283712	10,33675264	0,328467153	0
																0	21	148	1	79	15	20	2	603,2666667	4,768483372	648,6	4,069944859	181,2503964	3,395283712	10,33675264	0,328467153	0
																0	19	180	1	131	7	16	2	567,4666667	13,25456017	567,4666667	7,641895479	563,0666667	0,616754142	8,449531746	0,072992701	0
																0	19	180	1	131	7	16	2	567,4666667	13,25456017	567,4666667	7,641895479	563,0666667	0,616754142	8,449531746	0,072992701	0
																0	19	180	1	131	7	16	2	567,4666667	13,25456017	567,4666667	7,641895479	563,0666667	0,616754142	8,449531746	0,072992701	0
																0	16	172	2	121	7	13	1	60,4477752	9,297115442	483,4666667	7,01622375	611,2666667	1,6454497	6,83110936	0,240875912	0
																0	16	172	2	121	7	13	1	60,4477752	9,297115442	483,4666667	7,01622375	611,2666667	1,6454497	6,83110936	0,240875912	0
																0	16	172	2	121	7	13	1	60,4477752	9,297115442	483,4666667	7,01622375	611,2666667	1,6454497	6,83110936	0,240875912	0
																0	14	173	1	102	9	19	1	86,73333333	17,50778322	780,5838704	6,18651131	197,6077527	2,468501088	7,864759279	0,313868613	0
																0	14	173	1	102	9	19	1	86,73333333	17,50778322	780,5838704	6,18651131	197,6077527	2,468501088	7,864759279	0,313868613	0
																0	14	173	1	102	9	19	1	86,73333333	17,50778322	780,5838704	6,18651131	197,6077527	2,468501088	7,864759279	0,313868613	0
																0	10	173	2	105	5	14	3	603,2666667	14,4055535	572,7973276	4,399050266	512,6666667	2,715983105	8,45658376	0,321167883	0
																0	10	173	2	105	5	14	3	603,2666667	14,4055535	572,7973276	4,399050266	512,6666667	2,715983105	8,45658376	0,321167883	0
																0	10	173	2	105	5	14	3	603,2666667	14,4055535	572,7973276	4,399050266	512,6666667	2,715983105	8,45658376	0,321167883	0
																0	13	202	0	141	8	20	1	214,7783737	6,242685094	634,6	6,84162183	724,4903584	1,879090425	7,150983006	0,262773723	0
																0	13	202	0	141	8	20	1	214,7783737	6,242685094	634,6	6,84162183	724,4903584	1,879090425	7,150983006	0,262773723	0
																0	13	202	0	141	8	20	1	214,7783737	6,242685094	634,6	6,84162183	724,4903584	1,879090425	7,150983006	0,262773723	0
																0	11	175	1	114	7	13	2	676,8025351	5,127302631	695,2666667	5,251931379	206,6546791	3,560213816	9,954067199	0,357664234	0
																0	11	175	1	114	7	13	2	676,8025351	5,127302631	695,2666667	5,251931379	206,6546791	3,560213816	9,954067199	0,357664234	0
																0	11	175	1	114	7	13	2	676,8025351	5,127302631	695,2666667	5,251931379	206,6546791	3,560213816	9,954067199	0,357664234	0
