;;;CS Centrumzijde;Bleekstraat;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU;CS Centrumzijde;Bleekstraat;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU;;;;
R1067;2-9-2015;09:19;230,39908;9,355910812;0;0,39375;0;0;0;0;60,49548433;16,49876845;21,99835794;34,8307334;71,4946633;34,8307334;;;;
R1067;3-9-2015;09:19;166,9032706;6,237273875;0;0,39375;0;0;0;0;23,74679819;1,826676783;5,48003035;27,40015175;91,33383917;23,74679819;;;;
R1067;4-9-2015;09:19;417,2581764;18,71182162;0;0;0;0,136544856;0;0;47,84291188;5,520335986;23,92145594;101,2061597;158,2496316;99,36604774;;;;
R1067;7-9-2015;09:19;333,8065411;6,237273875;0;0;0;0;0;0;12,79734788;5,484577661;0;16,45373298;21,93831064;283,3698458;;;;
R1067;8-9-2015;09:19;170,5316025;24,9490955;0;0;0;0;0;0;17,24829688;1,916477432;7,665909726;45,99545836;80,49205213;42,1625035;;;;
R1067;9-9-2015;09:19;125,1774529;3,118636937;0;0;0;0;0;0;18,32801284;1,832801284;0;40,32162824;58,64964108;9,164006418;;;;
R1067;10-9-2015;09:19;0;9,355910812;2,675270608;0;0;0;0;0;0;0;2,406236284;2,406236284;4,812472568;2,406236284;;;;
R1067;11-9-2015;09:19;321,1073792;21,83045856;0;0;0;0;0;0;55,9137779;13,04654818;9,318962983;126,7378966;124,874104;13,04654818;;;;
R1067;14-9-2015;09:19;244,9124079;15,59318469;1,337635304;0;0;0;0;0;25,99861837;11,14226502;11,14226502;89,13812013;105,8515177;18,57044169;;;;
R1067;16-9-2015;09:19;83,45163528;15,59318469;2,675270608;0;0;0;0;0;9,59623496;5,757740976;0;26,86945789;51,81966878;7,676987968;;;;
R1067;17-9-2015;09:19;194,1157603;6,237273875;0;0;0;0;0;0;77,20025171;7,352404925;0;38,60012585;20,21911354;56,98113817;;;;
R1067;18-9-2015;09:19;78,00913733;0;0;0;0;0;0;0;16,32749386;5,442497953;1,814165984;21,76999181;30,84082173;1,814165984;;;;
R1067;21-9-2015;09:19;165,0891046;9,355910812;0;0;0;0;0;0;20,4137784;5,567394108;9,27899018;48,25074894;79,79931555;11,13478822;;;;
R1067;22-9-2015;09:19;157,8324406;15,59318469;0;0;0;0;0;0;65,97714007;9,425305724;1,885061145;37,7012229;52,78171205;5,655183434;;;;
